iter	Passed	Remaining
368	147201	52258
369	147642	51874
370	148065	51483
371	148438	51075
372	148803	50664
373	149206	50267
374	149615	49871
375	150053	49485
376	150428	49078
377	150836	48682
378	151326	48312
379	151753	47922
380	152183	47532
381	152587	47134
382	153061	46757
383	153523	46376
384	153942	45982
385	154333	45580
386	154690	45167
387	155072	44763
388	155485	44367
389	155915	43976
390	156321	43578
391	156685	43168
392	157139	42783
393	157585	42396
394	158011	42003
395	158419	41605
396	158788	41197
397	159296	40824
398	159892	40474
399	160486	40121
400	160936	39732
401	161522	39376
402	162175	39034
403	162852	38697
404	163905	38446
405	164917	38182
406	165916	37912
407	166968	37649
408	167981	37374
409	169018	37101
410	170023	36817
411	171073	36539
412	172121	36258
413	173189	35976
414	174218	35683
415	175270	35391
416	176316	35094
417	177343	34789
418	178483	34503
419	179758	34239
420	180889	33943
421	182112	33660
422	183420	33388
423	184701	33106
424	186110	32843
425	187537	32576
426	188755	32269
427	189917	31948
428	191140	31634
429	192364	31315
430	193655	31002
431	194690	30645
432	195809	30298
433	196864	29937
434	197894	29570
435	198936	29201
436	199966	28828
437	201065	28461
438	202176	28092
439	203287	27721
440	204324	27335
441	205351	26946
442	206428	26560
443	207460	26166
444	208504	25770
445	209552	25371
446	210595	24969
447	211625	24563
448	212762	24166
449	213820	23757
450	214967	23355
451	216049	22943
452	217222	22537
453	218310	22119
454	219570	21715
455	220871	21312
456	222162	20903
457	223242	20471
458	224330	20038
459	225356	19596
460	226570	19167
461	227745	18732
462	228970	18297
463	230147	17856
464	231333	17412
465	232426	16958
466	233521	16501
467	234631	16043
468	235727	15581
469	236844	15117
470	237987	14653
471	239056	14181
472	240090	13704
473	241158	13228
474	242304	12752
475	243445	12274
476	244668	11797
477	245816	11313
478	247051	10831
479	248275	10344
480	249547	9857
481	250675	9361
482	251807	8862
483	252895	8360
484	253991	7855
485	255100	7348
486	256202	6839
487	257272	6326
488	258403	5812
489	259553	5297
490	260594	4776
491	261804	4256
492	263009	3734
493	264112	3207
494	265271	2679
495	266417	2148
496	267528	1614
497	268724	1079
498	270210	541
499	271459	0
