iter	Logloss
0	0.6680784004
50	0.1808845682
100	0.08889175855
150	0.05511114035
200	0.03857096602
250	0.02909101192
300	0.02295454363
350	0.01879660995
400	0.01546416834
450	0.01306002173
499	0.01131111664
